Index,SMILES,Valid,MW,Rings,Oxygen,Nitrogen,Hydroxyl,Chiral,Glycosidic,Steroid_Skeleton,O/C_Ratio,Score,Classification,Description,Reasons,Error
104,[H]C([H])(O[H])[C@]([H])(O[H])C([H])([H])[C@]([H])...,True,1375.7,3.0,25.0,0.0,22.0,30.0,0.0,No,0.352,95.0,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin,High MW: 1375.7 > 800 (+30); Few rings: 3 (only +5); Very high oxygen: 25 ≥ 12 (+20),
105,[H][C@]1(O[C@]([H])([C@]([H])(O[H])[C@]([H])(O[H])...,True,1357.8,2.0,23.0,0.0,21.0,25.0,0.0,No,0.319,90.0,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin,High MW: 1357.8 > 800 (+30); Very high oxygen: 23 ≥ 12 (+20); Many hydroxyls: 21 ≥ 5 (+15),
106,[H]C([H])(O[H])[C@]([H])(O[H])C([H])([H])C([H])=C(...,True,1345.7,2.0,24.0,0.0,22.0,26.0,0.0,No,0.343,90.0,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin,High MW: 1345.7 > 800 (+30); Very high oxygen: 24 ≥ 12 (+20); Many hydroxyls: 22 ≥ 5 (+15),
107,[H][C@]1(O[C@]([H])([C@]([H])(O[H])[C@]([H])(O[H])...,True,1209.5,2.0,23.0,0.0,18.0,23.0,0.0,No,0.390,90.0,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin,High MW: 1209.5 > 800 (+30); Very high oxygen: 23 ≥ 12 (+20); Many hydroxyls: 18 ≥ 5 (+15),
108,[H][C@]1(O[C@]([H])([C@]([H])(O[H])[C@]([H])(O[H])...,True,1129.4,2.0,20.0,0.0,18.0,23.0,0.0,No,0.339,90.0,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin,High MW: 1129.4 > 800 (+30); Very high oxygen: 20 ≥ 12 (+20); Many hydroxyls: 18 ≥ 5 (+15),
109,O=C(N([H])C([H])([H])C([H])([H])N([H])[H])C(C([H])...,True,423.6,2.0,1.0,3.0,0.0,0.0,0.0,No,0.037,-20.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 423.6 > 400 (+10); Contains nitrogen: 3 atoms (-30),
110,O=C(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([...,True,276.4,0.0,2.0,0.0,1.0,0.0,0.0,No,0.111,0.0,NOT_SAPONIN,Definitely not a saponin,Very low MW: 276.4 < 400 (no points),
111,[F]C([F])([F])c3c([H])c([H])c2[S]c1c([H])c([H])c([...,True,407.5,4.0,0.0,3.0,0.0,0.0,0.0,No,0.000,5.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 407.5 > 400 (+10); Sufficient rings: 4 ≥ 4 (+15); Has fused rings (+10),
112,O=C(N([H])c2c1c([H])c([H])c([H])c([H])c1c3c(c2[H])...,True,425.5,5.0,2.0,3.0,0.0,0.0,0.0,No,0.074,10.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 425.5 > 400 (+10); Many rings: 5 ≥ 5 (+20); Has fused rings (+10),
113,[H]c2c([H])c([S]C([H])([H])C([H])([H])C([H])([H])C...,False,,,,,,,,,,,,,,Invalid SMILES
114,[H]c2c([H])c([S]C([H])([H])C([H])([H])C([H])([H])C...,False,,,,,,,,,,,,,,Invalid SMILES
115,[H]c2c([H])c([S]C([H])([H])C([H])([H])C([H])([H])C...,False,,,,,,,,,,,,,,Invalid SMILES
116,[H]c1c([H])c(c([H])c([H])n1C([H])([H])C([H])([H])C...,False,,,,,,,,,,,,,,Invalid SMILES
117,[H]c1c([H])c(c([H])c([H])n1C([H])([H])C([H])([H])C...,False,,,,,,,,,,,,,,Invalid SMILES
118,[H]c1c([H])c(c([H])c([H])n1C([H])([H])C([H])([H])C...,False,,,,,,,,,,,,,,Invalid SMILES
119,[H]c1c([H])c(c([H])c([H])n1C([H])([H])C([H])([H])C...,False,,,,,,,,,,,,,,Invalid SMILES
120,[H]c1c([H])c(c([H])c([H])n1C([H])([H])C([H])([H])C...,False,,,,,,,,,,,,,,Invalid SMILES
121,[F]C([F])(C([F])([F])C([F])([F])C([F])([F])C([F])(...,True,499.1,0.0,2.0,1.0,0.0,0.0,0.0,No,0.250,10.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 499.1 > 400 (+10); High O/C ratio: 0.250 (+10); Contains nitrogen: 1 atoms (-10),
122,O=C1N([H])[C@@]([H])(C(=O)N([H])[C@@]([H])(C(=O)N(...,True,1057.2,3.0,14.0,12.0,2.0,9.0,0.0,No,0.286,50.0,POSSIBLE_SAPONIN,Could be a saponin (needs verification),High MW: 1057.2 > 800 (+30); Few rings: 3 (only +5); Very high oxygen: 14 ≥ 12 (+20),
123,O=C(O[C@@]1([H])C([H])([H])C([H])([H])[C@]2([C@@](...,True,681.1,6.0,3.0,4.0,0.0,10.0,0.0,Yes,0.071,50.0,POSSIBLE_SAPONIN,Could be a saponin (needs verification),Medium MW: 681.1 > 600 (+20); Many rings: 6 ≥ 5 (+20); Has steroid/triterpene skeleton (+25),
124,O=C(N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(...,True,377.5,0.0,6.0,1.0,5.0,4.0,0.0,No,0.316,25.0,UNLIKELY_SAPONIN,Probably not a saponin,Very low MW: 377.5 < 400 (no points); Moderate oxygen: 6 ≥ 5 (+10); Many hydroxyls: 5 ≥ 5 (+15),
125,O=C(N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(...,True,405.6,0.0,6.0,1.0,5.0,4.0,0.0,No,0.286,35.0,UNLIKELY_SAPONIN,Probably not a saponin,Low MW: 405.6 > 400 (+10); Moderate oxygen: 6 ≥ 5 (+10); Many hydroxyls: 5 ≥ 5 (+15),
126,O=C(N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(...,True,433.6,0.0,6.0,1.0,5.0,4.0,0.0,No,0.261,35.0,UNLIKELY_SAPONIN,Probably not a saponin,Low MW: 433.6 > 400 (+10); Moderate oxygen: 6 ≥ 5 (+10); Many hydroxyls: 5 ≥ 5 (+15),
127,O=C(N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(...,True,461.7,0.0,6.0,1.0,5.0,4.0,0.0,No,0.240,35.0,UNLIKELY_SAPONIN,Probably not a saponin,Low MW: 461.7 > 400 (+10); Moderate oxygen: 6 ≥ 5 (+10); Many hydroxyls: 5 ≥ 5 (+15),
128,O=C(N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(...,True,567.7,1.0,11.0,1.0,8.0,9.0,2.0,No,0.407,70.0,LIKELY_SAPONIN,Probably a saponin,Low MW: 567.7 > 400 (+10); High oxygen: 11 ≥ 8 (+15); Many hydroxyls: 8 ≥ 5 (+15),
129,O=C(N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(...,True,595.8,1.0,11.0,1.0,8.0,9.0,2.0,No,0.379,70.0,LIKELY_SAPONIN,Probably a saponin,Low MW: 595.8 > 400 (+10); High oxygen: 11 ≥ 8 (+15); Many hydroxyls: 8 ≥ 5 (+15),
130,O=C(N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(...,True,623.8,1.0,11.0,1.0,8.0,9.0,2.0,No,0.355,80.0,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin,Medium MW: 623.8 > 600 (+20); High oxygen: 11 ≥ 8 (+15); Many hydroxyls: 8 ≥ 5 (+15),
131,O=C(N(C([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C...,True,567.7,1.0,11.0,1.0,8.0,9.0,2.0,No,0.407,70.0,LIKELY_SAPONIN,Probably a saponin,Low MW: 567.7 > 400 (+10); High oxygen: 11 ≥ 8 (+15); Many hydroxyls: 8 ≥ 5 (+15),
132,O=C(N(C([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C...,True,595.8,1.0,11.0,1.0,8.0,9.0,2.0,No,0.379,70.0,LIKELY_SAPONIN,Probably a saponin,Low MW: 595.8 > 400 (+10); High oxygen: 11 ≥ 8 (+15); Many hydroxyls: 8 ≥ 5 (+15),
133,O=C(N(C([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C...,True,623.8,1.0,11.0,1.0,8.0,9.0,2.0,No,0.355,80.0,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin,Medium MW: 623.8 > 600 (+20); High oxygen: 11 ≥ 8 (+15); Many hydroxyls: 8 ≥ 5 (+15),
134,O=C(N([H])C([H])([H])C([H])([H])C([H])([H])N(C([H]...,True,655.8,0.0,12.0,3.0,10.0,8.0,0.0,No,0.400,50.0,POSSIBLE_SAPONIN,Could be a saponin (needs verification),Medium MW: 655.8 > 600 (+20); Very high oxygen: 12 ≥ 12 (+20); Many hydroxyls: 10 ≥ 5 (+15),
