Index,SMILES,MW,Rings,Oxygen,Nitrogen,Score,Classification
311,O=C1O[C@]([C@]9([H])[C@]18[C@](/C7=C(\[H])C([H])([...,1181.4,9.0,25.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
312,O=C1O[C@]([C@]%10([H])[C@]19[C@](/C8=C(\[H])C([H])...,1233.4,10.0,26.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
313,O=C1O[C@]([C@]%10([H])[C@]19[C@](/C8=C(\[H])C([H])...,1313.5,10.0,29.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
314,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C...,1283.4,10.0,29.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
315,O=C8O[C@]([C@@]7([H])C(=O)C([H])([H])[C@]6(/C5=C(\...,959.1,8.0,19.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
316,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])...,1051.2,9.0,23.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
317,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C...,1297.4,10.0,29.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
318,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C...,1377.5,10.0,32.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
319,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C...,1377.5,10.0,32.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
320,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C...,1457.6,10.0,35.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
321,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C...,1217.4,10.0,26.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
322,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C...,1203.3,10.0,26.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
323,O=C1O[C@]([C@]%10([H])[C@]19[C@](/C8=C(\[H])C([H])...,1443.6,10.0,34.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
324,O=C1O[C@]([C@]%10([H])[C@]19[C@](/C8=C(\[H])C([H])...,1203.4,10.0,25.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
325,O=C1O[C@]([C@]9(O[H])[C@]12[C@]([C@@]8([H])C(=C([H...,1199.3,10.0,27.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
326,O=C1O[C@]([C@]7(O[H])[C@]12[C@]([C@@]6([H])C(=C([H...,861.0,8.0,17.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
327,O=C1O[C@]([C@]9(O[H])[C@]12[C@]([C@@]8([H])C(=C([H...,1243.4,9.0,28.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
