Index,SMILES,MW,Rings,Oxygen,Nitrogen,Hydroxyl,Chiral,Glycosidic,O/C_Ratio,Score,Classification,Description
330,[H][C@]78/C6=C(\[H])C([H])([H])[C@]5([H])[C@@]4([C@]([H])(C(...,1139.3,8,22,0,11,26,6,0.379,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
331,O=C6[C@]([H])(O[C@]5([H])O[C@@]([H])([C@]([H])(O[H])[C@]([H]...,1257.3,11,30,0,17,38,12,0.526,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
332,[H][C@]58/C4=C(\[H])C([H])([H])[C@]3([H])[C@@]2([C@@]([H])(C...,909.1,8,17,0,9,22,6,0.362,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
333,[H][C@]59/C4=C(\[H])C([H])([H])[C@]3([H])[C@@]2([C@@]([H])(C...,1041.2,9,21,0,11,25,8,0.404,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
334,[H][C@]5%10/C4=C(\[H])C([H])([H])[C@]3([H])[C@@]2([C@@]([H])...,1173.3,10,25,0,13,28,10,0.439,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
335,[H][C@]59/C4=C(\[H])C([H])([H])[C@]3([H])[C@@]2([C@@]([H])(C...,1041.2,9,21,0,11,26,8,0.404,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
336,O=C(O[C@]1([H])O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(O[H])[C...,1757.9,12,40,0,23,46,14,0.488,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
337,O=C(O[H])[C@@]%11([H])O[C@@]([H])(O[C@]1([H])C([C@]2([H])[C@...,1251.4,11,27,0,15,35,10,0.450,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
338,O=C(O[H])[C@@]%10([H])O[C@@]([H])(O[C@]1([H])C([C@]2([H])[C@...,1105.3,10,23,0,13,30,8,0.426,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
339,O=C(O[C@@]%12([H])C([H])([H])[C@]%11(C(=O)O[C@]1([H])O[C@@](...,1692.8,13,38,1,20,43,14,0.481,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
340,O=C(O[C@@]%13([H])C([H])([H])[C@]%12(C(=O)O[C@]1([H])O[C@@](...,1813.9,14,43,0,24,48,16,0.518,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
341,O=C(O[C@@]%12([H])C([H])([H])[C@]%11(C(=O)O[C@]1([H])O[C@@](...,2213.4,14,49,1,25,55,18,0.471,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
342,O=C(O[H])[C@@]67C([H])([H])C([H])([H])[C@@]5(/C(=C(/[H])C([H...,751.0,7,12,0,7,18,4,0.293,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
343,O=C(O[H])[C@@]56C([H])([H])C([H])([H])[C@@]4(/C(=C(/[H])C([H...,604.8,6,8,0,5,13,2,0.229,120,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
344,O=C(O[H])[C@@]78C([H])([H])C([H])([H])[C@@]6(/C(=C(/[H])C([H...,913.1,8,17,0,10,23,6,0.362,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
345,O=C6[C@]7([H])[C@]([C@@]5(C([H])([H])C([H])([H])[C@]4([H])[C...,929.1,8,18,0,10,24,6,0.383,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
346,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([H])(O[C@]1...,855.0,9,16,0,8,25,8,0.364,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
347,[H]C6([H])[C@]([H])(O[C@]3([H])O[C@@]([H])([C@@]([H])(O[C@]2...,1015.2,10,20,0,10,31,10,0.392,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
348,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([H])(O[C@]1...,871.0,9,17,0,9,25,8,0.386,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
349,[H]C4([H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@@]([H])(O[H])[...,738.9,8,13,0,7,21,6,0.333,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
350,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([H])(O[H])[...,885.1,9,17,0,9,26,8,0.378,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
351,[H]C6([H])[C@]([H])(O[C@]3([H])O[C@@]([H])([C@@]([H])(O[C@]2...,1031.2,10,21,0,11,31,10,0.412,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
352,[H]C4([H])[C@]([H])(O[C@@]1([H])O[C@@]([H])([C@@]([H])(O[H])...,738.9,8,13,0,7,21,6,0.333,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
353,[H]C4([H])[C@]([H])(O[C@@]1([H])O[C@@]([H])([C@@]([H])(O[H])...,708.9,8,12,0,6,20,6,0.316,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
354,[H]C4([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([H])(O[H])[...,738.9,8,13,0,7,21,6,0.333,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
355,[H]C4([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([H])(O[H])[...,708.9,8,12,0,6,20,6,0.316,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
